rank,title,rating_star,rating_score,comments
1,肖申克的救赎,5,9.7,3039510
2,霸王别姬,5,9.6,2246406
3,阿甘正传,5,9.5,2264643
4,泰坦尼克号,5,9.5,2304092
5,千与千寻,45,9.4,2352968
6,这个杀手不太冷,45,9.4,2389998
7,美丽人生,5,9.5,1385643
8,星际穿越,45,9.4,1970877
9,盗梦空间,45,9.4,2166794
10,楚门的世界,45,9.4,1824432
11,辛德勒的名单,5,9.5,1172125
12,忠犬八公的故事,45,9.4,1452397
13,海上钢琴师,45,9.3,1751245
14,三傻大闹宝莱坞,45,9.2,1942066
15,放牛班的春天,45,9.3,1375784
16,机器人总动员,45,9.3,1380838
17,疯狂动物城,45,9.2,2059922
18,无间道,45,9.3,1444217
19,控方证人,5,9.6,620941
20,大话西游之大圣娶亲,45,9.2,1601093
21,熔炉,45,9.4,974450
22,教父,45,9.3,1021322
23,触不可及,45,9.3,1186431
24,当幸福来敲门,45,9.2,1586345
25,寻梦环游记,45,9.1,1790006
26,末代皇帝,45,9.3,943188
27,龙猫,45,9.2,1325489
28,怦然心动,45,9.1,1918820
29,活着,45,9.3,897048
30,哈利·波特与魔法石,45,9.2,1269986
31,蝙蝠侠：黑暗骑士,45,9.2,1115655
32,指环王3：王者无敌,45,9.3,845962
33,我不是药神,45,9.0,2202937
34,乱世佳人,45,9.3,728265
35,飞屋环游记,45,9.1,1393599
36,素媛,45,9.3,723267
37,哈尔的移动城堡,45,9.1,1155833
38,十二怒汉,45,9.4,526211
39,让子弹飞,45,9.0,1786644
40,何以为家,45,9.1,1095086
41,摔跤吧！爸爸,45,9.0,1637301
42,海蒂和爷爷,45,9.3,679039
43,猫鼠游戏,45,9.1,1098010
44,天空之城,45,9.2,933967
45,鬼子来了,45,9.3,661058
46,少年派的奇幻漂流,45,9.1,1405560
47,钢琴家,45,9.3,685276
48,指环王2：双塔奇兵,45,9.2,794691
49,大话西游之月光宝盒,45,9.0,1275432
50,闻香识女人,45,9.1,940633
51,死亡诗社,45,9.2,784506
52,绿皮书,45,8.9,1742963
53,大闹天宫,45,9.4,466226
54,罗马假日,45,9.1,988746
55,黑客帝国,45,9.1,879806
56,指环王1：护戒使者,45,9.1,891835
57,天堂电影院,45,9.2,703863
58,教父2,45,9.3,586149
59,狮子王,45,9.1,891358
60,辩护人,45,9.2,619044
61,饮食男女,45,9.2,658513
62,搏击俱乐部,45,9.0,893808
63,本杰明·巴顿奇事,45,9.0,1033557
64,美丽心灵,45,9.1,805248
65,穿条纹睡衣的男孩,45,9.2,598286
66,窃听风暴,45,9.2,593165
67,情书,45,8.9,1184266
68,两杆大烟枪,45,9.1,627107
69,音乐之声,45,9.1,635039
70,西西里的美丽传说,45,8.9,1025189
71,看不见的客人,45,8.8,1341733
72,哈利·波特与死亡圣器(下),45,9.0,881281
73,阿凡达,45,8.8,1483138
74,拯救大兵瑞恩,45,9.1,678778
75,小鞋子,45,9.2,432178
76,飞越疯人院,45,9.1,570784
77,功夫,45,8.8,1214037
78,沉默的羔羊,45,8.9,941600
79,布达佩斯大饭店,45,8.9,999637
80,禁闭岛,45,8.9,1033191
81,蝴蝶效应,45,8.9,988784
82,哈利·波特与阿兹卡班的囚徒,45,9.0,785608
83,致命魔术,45,8.9,903603
84,心灵捕手,45,9.0,759286
85,超脱,45,9.0,653867
86,低俗小说,45,8.9,884508
87,摩登时代,45,9.3,319710
88,春光乍泄,45,9.0,664772
89,海豚湾,45,9.3,367959
90,喜剧之王,45,8.8,1017649
